DateTime,ACE Searchlight Solar,Techren Solar 2,Techren Solar V,Dry Lake East Solar,Switch Station 1 (Playa Solar 1),Boulder Solar I,Dodge Flat Solar,Dry Lake Solar,Switch Station 2 (Playa Solar 2),Battle Mountain Solar,Techren Solar I,Fish Springs Ranch Solar,Mountain View Solar,Spring Valley Wind,Techren Solar IV,Idaho Wind,Eagle Shadow Mountain Solar Farm,Techren Solar III,_NVE IRP Expansion_SPPC_PV (Standalone),Turquoise Nevada,Nellis Solar Array II,Boulder Solar II,Sierra Solar,FRV Spectrum Solar,RV Apex Solar,Arrow Canyon Solar,Silver State Solar,Ft. Churchill Solar,Libra Solar,Boulder Solar III,Gemini Solar,Copper Mountain Solar 5
2030-01-01T23:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.09552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T00:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.67072000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T01:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.865914,0.0,111.07936000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T02:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.664814000000001,0.0,125.78775999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T03:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.346034,0.0,161.09744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T04:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.402422,0.0,147.38864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T05:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.519238,0.0,114.10672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T06:00:00.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.127886000000004,0.0,137.45927999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2030-01-02T07:00:00.0,1.12245,12.928,3.74679972,19.2895857,8.591999999999999,8.612,0.0,14.467189274999999,7.435479999999999,0.924760242,7.4452978000000005,0.0,1.7123999999999997,25.754388000000002,1.8735000000000002,134.66039999999998,13.00213002,1.8472499999999998,51.148622952000004,0.153,1.26,3.2125,27.69707196,3.0876,1.326879608,13.187028600000001,2.76952,0.08151,42.62385246,10.00372978434,44.323274561999995,17.3975
2030-01-02T08:00:00.0,3.5259,48.624,18.68249448,45.22386330000001,20.158,5.375,88.56598211999999,33.917897475000004,17.44715,10.347458988999998,32.84331368,43.42543218,6.175000000000001,26.24622,9.34075,121.98928000000001,78.75678755999999,8.1485,202.040840736,0.3145,0.756,12.0625,109.37456892,4.2624,5.555533312000001,14.9095128,13.981760000000001,6.834164999999999,168.36736727999997,44.12936738903999,50.436829673999995,69.1675
2030-01-02T09:00:00.0,4.209099999999999,85.0,18.23695884,109.38499110000001,48.829,48.275,16.16344308,82.038743325,42.27527,5.141750824,35.720428760000004,48.6774756,7.5249999999999995,26.071650000000005,9.118,51.57936,36.57336573,8.86925,296.77793544,1.6404999999999998,5.352,21.087500000000002,160.64574479999996,9.0624,8.506910384,65.66351220000001,22.155640000000002,0.39780000000000004,247.3149462,47.99416576338,222.56605127400002,111.0525
