pras_ts,psy_no_scaling,psy_scaling
30,0.0498,47.4096
19,0.1095,104.244
39,0.07961,75.78872
48,0.07666,72.98032
47,0.18709,178.10968
55,0.22637,215.50423999999998
51,0.15057,143.34264000000002
56,0.09445,89.91640000000001
88,0.088,83.776
23,0.04955,47.1716
52,0.04829,45.97208
76,0.05022,47.80944
70,0.03511,33.42472
77,0.04765,45.3628
149,0.06213,59.14776
121,0.09758,92.89616
11,0.10442,99.40784
53,0.11776,112.10752000000001
92,0.08182,77.89264
0,0.02728,25.97056
0,0.0058,5.521599999999999
0,0.00297,2.82744
0,0.00165,1.5708
0,0.00136,1.29472
0,0.00099,0.94248
0,0.00249,2.37048
0,0.00152,1.44704
1,0.01032,9.824639999999999
7,0.05533,52.67416
36,0.07176,68.31552
44,0.08142,77.51184
75,0.07767,73.94184
95,0.09099,86.62248
122,0.11866,112.96432
135,0.13679,130.22408
179,0.15582,148.34063999999998
180,0.15821,150.61592
169,0.16193,154.15735999999998
198,0.16587,157.90823999999998
183,0.19894,189.39088
226,0.1623,154.5096
223,0.12128,115.45856
197,0.0347,33.034400000000005
137,0.00187,1.7802399999999998
83,0.00376,3.57952
70,0.0062,5.9024
66,0.00642,6.11184
61,0.00951,9.053519999999999
77,0.0122,11.614400000000002
107,0.02207,21.01064
95,0.00204,1.9420800000000003
94,0.0,0.0
109,0.00539,5.131279999999999
78,0.02364,22.505280000000003
46,0.03482,33.14864
21,0.03442,32.76784
19,0.0466,44.3632
0,0.04451,42.37352
0,0.05344,50.874880000000005
4,0.03483,33.15816
0,0.0231,21.9912
0,0.02471,23.52392
0,0.02344,22.31488
0,0.02609,24.83768
0,0.01692,16.10784
2,0.01304,12.41408
6,0.00715,6.8068
0,0.00897,8.53944
0,0.01373,13.07096
0,0.07395,70.4004
0,0.13872,132.06144
0,0.13402,127.58704
0,0.18051,171.84552
0,0.0836,79.5872
0,0.04973,47.342960000000005
0,0.10908,103.84416
7,0.14189,135.07927999999998
34,0.12585,119.80919999999999
45,0.11265,107.2428
21,0.09239,87.95528
17,0.05422,51.617439999999995
25,0.07479,71.20008
69,0.09649,91.85848
111,0.10477,99.74104
119,0.1295,123.284
145,0.129,122.808
169,0.17248,164.20095999999998
179,0.20092,191.27584
173,0.27996,266.52191999999997
147,0.33662,320.46223999999995
119,0.37334,355.41968
67,0.26891,256.00232
32,0.17481,166.41912
18,0.08594,81.81488
8,0.06926,65.93552
11,0.0232,22.086399999999998
23,0.0179,17.0408
44,0.02042,19.43984
54,0.01095,10.4244
47,0.02353,22.40056
32,0.06807,64.80264000000001
26,0.11723,111.60296
24,0.1722,163.93439999999998
15,0.11379,108.32808
9,0.10234,97.42768
13,0.11699,111.37447999999999
24,0.11479,109.28008
36,0.11356,108.10911999999999
26,0.09578,91.18256000000001
18,0.06572,62.56544
13,0.05682,54.09264
11,0.05847,55.66344
6,0.04825,45.934000000000005
11,0.0429,40.8408
34,0.02397,22.81944
10,0.00205,1.9516000000000002
12,0.01175,11.186
32,0.02481,23.61912
34,0.0194,18.4688
27,0.01708,16.260160000000003
11,0.00925,8.806
3,0.01275,12.138
0,0.01502,14.29904
3,0.02831,26.95112
0,0.04306,40.99312
4,0.06318,60.14736
3,0.07202,68.56304
29,0.07095,67.5444
2,0.07265,69.1628
7,0.06656,63.36512
7,0.04599,43.78248
9,0.06325,60.214
2,0.03698,35.20496
3,0.0814,77.4928
1,0.09152,87.12704000000001
8,0.07699,73.29448000000001
21,0.07782,74.08464000000001
5,0.07318,69.66736
11,0.04386,41.754720000000006
34,0.00708,6.74016
19,0.00158,1.50416
2,0.0,0.0
0,0.0,0.0
0,0.0,0.0
1,0.0,0.0
4,0.0,0.0
3,0.0,0.0
19,0.0,0.0
56,0.00617,5.87384
73,0.00802,7.635039999999999
53,0.01718,16.35536
45,0.03138,29.873759999999997
46,0.04361,41.51672
38,0.05982,56.94864
31,0.10865,103.4348
26,0.0905,86.15599999999999
10,0.07856,74.78912000000001
5,0.02748,26.16096
4,0.01147,10.91944
5,0.01312,12.49024
4,0.01569,14.936879999999999
16,0.01337,12.72824
13,0.00547,5.20744
1,0.00157,1.49464
0,0.00051,0.48552000000000006
0,0.00207,1.9706399999999997
0,0.00244,2.32288
0,0.00316,3.00832
0,0.00376,3.57952
0,7.0e-5,0.06663999999999999
3,0.0,0.0
