Petroleum,Other,Wind,Biopower,Storage,Geothermal,PV,Natural gas,Curtailment
0.0,6.0,77.65101000000001,15.2,0.0,219.50975522999988,2738.086099,1982.4039519999997,5380.235648373999
0.0,6.0,30.41887399999994,15.2,0.0,219.50975523,3203.958709,1965.0251352007938,5397.614465173205
0.0,6.0,16.165434,15.2,0.0,219.50975523000002,3862.9242800000006,1823.94053077,5538.699069603998
0.0,6.0,9.20556,15.2,0.0,219.50975523000002,3880.796451,1763.4382337699997,5599.201366603999
0.0,5.999999999999545,3.6487879999999997,15.2,0.0,219.50975523,3827.113077999999,1860.8683787700006,5501.771221603998
0.0,6.0,30.66392,15.2,0.0,219.50975523000002,1780.4101140000002,1982.4039519999997,5380.235648373999
0.0,6.0,74.28456,15.2,0.0,219.50975523000002,1095.535394,2635.5402907699995,4727.099309604001
0.0,6.0,82.07191999999998,15.2,1078.6547627699997,219.50975523000002,9.029609999999995,2973.503952,4389.135648374
0.0,5.999999999999545,95.18096,15.2,1346.4353327700005,219.50975523000002,0.0,2935.003952,4427.635648374
0.0,5.999999999999773,140.12488,15.2,1327.8314127699998,219.50975523000002,0.0,2935.003952,4427.635648374
0.0,5.999999999999773,155.73768,15.2,1212.40861277,219.50975523000002,0.0,2935.003952,4427.635648374
0.0,5.999999999999659,200.017256,15.2,1019.2474432282401,219.50975523000002,0.0,2949.6355455417597,4413.00405483224
0.0,5.999999999999773,249.617606,15.2,825.0786867700001,219.50975523000002,0.0,2935.003952,4427.635648374
0.0,6.0,306.47763799999996,15.2,265.38865476999956,219.50975523,500.0,2935.003952,4427.635648374
0.0,6.0,349.15706000000006,15.2,13.54923276999989,219.50975523,538.98,2935.003952,4427.635648374
0.0,6.0,399.150478,15.2,0.0,219.50975523000002,640.37,2746.26976677,4616.369833604
0.0,6.0,491.2942260000001,15.2,0.0,219.50975522999994,548.48,2678.38601877,4684.253581604
0.0,5.999999999999659,474.47625400000004,15.2,0.0,219.50975523000002,510.47,2678.38399077,4684.255609604001
0.0,6.0,623.636146,15.2,0.0,219.50975523000008,372.5799999999999,2678.384098769999,4684.2555016040005
0.0,6.0,626.0614539999999,15.2,201.27483876999946,219.50975523000002,0.0,2935.003952,4427.635648374
0.0,5.999999999999773,743.0529280000001,15.2,246.90336477,219.50975522999994,0.0,2935.003952,4427.635648374
0.0,5.999999999999886,798.8477680000001,15.2,483.66852476999986,219.50975523000002,0.0,2935.003952,4427.635648374
0.0,5.9999999999998295,872.99802,15.2,0.0,219.50975523000002,852.7606709999999,2522.39155377,4840.248046604001
0.0,0.0,896.3273219399996,6.08,0.0,213.97707806000003,2870.1116480000005,1314.8039519999998,6152.1576196040005
0.0,5.999999999999801,814.0338600000001,15.2,0.0,219.50975523000005,3388.6703200000006,1469.7039519999998,5892.935648373999
0.0,5.999999999999858,811.3573220000001,15.2,0.0,219.50975523000002,3292.4330470000004,1469.7039519999998,5892.935648373999
0.0,6.0,867.9954200000001,15.2,0.0,219.50975523000002,2638.991018,1469.703952,5892.935648373999
0.0,5.999999999999801,832.090232,15.2,0.0,219.50975523000002,2256.640707,1469.7039519999998,5892.935648374
0.0,6.0,897.5951360000001,15.2,0.0,219.50975523000002,2156.606320000001,1492.1430647407922,5870.496535633207
0.0,0.0,788.0180000000001,6.08,0.0,213.97707806000003,2454.9809699399993,1314.8039519999998,6310.471436604001
0.0,6.0,780.168292,15.2,0.0,219.50975523000002,1680.086365,1372.3455877699998,5990.294012603999
0.0,5.999999999999659,549.7479159999999,15.2,558.1960412282382,219.50975523000002,37.64790599999999,3040.0083815417624,4322.631218832239
0.0,5.999999999999545,208.20989400000002,15.2,1222.2663987700003,219.50975523000002,0.0,3052.603952,4310.035648374001
0.0,6.0,141.448576,15.2,1274.09771677,219.50975523000002,0.0,3052.603952,4310.035648374
0.0,5.999999999999773,169.411808,15.2,1130.9144847700002,219.50975522999997,0.0,3052.603952,4310.035648374
0.0,5.999999999999773,109.64909399999999,15.2,1110.6871987700001,219.50975523,0.0,3018.103952,4344.535648374
0.0,5.999999999999773,168.316954,15.2,488.4193387700005,219.50975523,356.76,3052.603952,4310.035648374
0.0,5.999999999999886,179.692954,15.2,104.0033387699999,219.50975523000002,700.0,3052.603952,4310.035648374
0.0,5.999999999999773,27.598216,15.2,0.0,219.50975523,877.9,2991.3320287700003,4371.307571604
