name,available,prime_mover_type,bus_id,fuel,base_mva,rating,unit_type,active_power,active_power_limits_max,min_rated_capacity,min_down_time,min_up_time,mean_time_to_repair,forced_outage_rate,planned_outage_rate,ramp_up,ramp_down,category,must_run,pump_load,vom_price,fixed,start_up,heat_rate_a0,shut_down,heat_rate_a1,heat_rate_a2,fuel_price
LV Gen 3_A,TRUE,GT,1,GAS,1,74.4,NA,74.4,74.4,25,8,6,74,6.2,NA,3.72,3.72,NA,NA,NA,2.8,0,5877.6,90.6512146,0,5.545249023,0.011003155,3686
LV Gen 2_A,TRUE,GT,1,GAS,1,74.4,NA,74.4,74.4,25,8,6,74,8.2,NA,3.72,3.72,NA,NA,NA,2.8,0,5877.6,99.73801422,0,4.835919434,0.017447758,3686
Clark 16,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,153.6491852,0,0.807394287,0.160175577,3686
Chuck Lenzi 1_A,TRUE,GT,1,GAS,1,305,NA,305,311.5,117.5,8,6,74,2,NA,15.25,15.25,NA,NA,NA,2.8,0,24095,658.5287476,0,2.246359375,0.010236411,3686
Sun Peak 5,TRUE,GT,1,GAS,1,98.1,NA,98.1,98.1,65,1,1,70,15.1,NA,7.848,7.848,NA,NA,NA,4.8,0,6768.9,1123.839111,0,-18.52199805,0.224118397,3686
Northern Purchases (Sierra),TRUE,GT,2,GAS,1,10000,NA,10000,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7.830826201,NA,3686
Walt Higgings CC_B,TRUE,GT,1,GAS,1,344,NA,344,344,121,8,6,74,5.6,NA,17.2,17.2,NA,NA,NA,2.8,0,27176,555.7357788,0,2.778734131,0.010107093,3686
Ft. Churchill 1,TRUE,GT,3,GAS,1,105,NA,105,113,15,8,10,143,7,NA,2.1,2.1,NA,NA,NA,2.8,0,13545,75.86143494,0,10.00736426,0.004420545,3686
Silverhawk CC_B,TRUE,GT,1,GAS,1,299.5,NA,299.5,303.5,131,8,6,74,1.9,NA,14.975,14.975,NA,NA,NA,2.8,0,23660.5,746.6644287,0,0.605819275,0.016478861,3686
"Tracy 8, 9, 10_B",TRUE,GT,3,GAS,1,311.5,NA,311.5,317.5,125,8,6,74,1.4,NA,15.575,15.575,NA,NA,NA,2.8,0,24608.5,742.619873,0,1.177346436,0.014136084,3686
Silverhawk CC_A,TRUE,GT,1,GAS,1,299.5,NA,299.5,303.5,131,8,6,74,1.9,NA,14.975,14.975,NA,NA,NA,2.8,0,23660.5,714.6812134,0,1.07589917,0.014739183,3686
Clark 15,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,203.0406799,0,-3.202312256,0.247941524,3686
Tracy 3,TRUE,GT,3,GAS,1,110,NA,110,110,28,8,10,143,16.8,NA,2.2,2.2,NA,NA,NA,2.8,0,14190,96.54950714,0,9.763181641,0.009357199,3686
Clark Mt. 3,TRUE,GT,3,GAS,1,73,NA,73,73,35,1,1,70,14.4,NA,5.84,5.84,NA,NA,NA,4.8,0,5037,258.881134,0,7.324519043,0.018901393,3686
Clark 20,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,91.72315979,0,4.477098145,0.115814723,3686
Harry Allen CC_B,TRUE,GT,1,GAS,1,279,NA,279,290,133.5,8,6,74,2.3,NA,13.95,13.95,NA,NA,NA,2.8,0,22041,476.4024048,0,3.837533691,0.006109406,3686
Valmy 2,TRUE,GT,3,GAS,1,134,NA,134,134,20,12,24,118,11.2,NA,2.68,2.68,NA,NA,NA,2,0,17286,272.6213684,0,7.240225586,0.00826276,3686
Ft. Churchill 2,TRUE,GT,3,GAS,1,105,NA,105,113,15,8,10,143,4.8,NA,2.1,2.1,NA,NA,NA,2.8,0,13545,50.12435532,0,10.14890918,0.005642018,3686
Clark 21,TRUE,GT,1,GAS,1,60.5,NA,60.5,60.5,35,1,1,70,7.2,NA,4.84,4.84,NA,NA,NA,4.8,0,4174.5,149.3446655,0,1.52024585,0.157495901,3686
Chuck Lenzi 2_B,TRUE,GT,1,GAS,1,305,NA,305,311.5,117.5,8,6,74,1.6,NA,15.25,15.25,NA,NA,NA,2.8,0,24095,511.4797363,0,3.601583252,0.0072831,3686
Southern Purchases (NVP),TRUE,GT,4,GAS,1,10000,NA,10000,10000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,7.615409355,NA,3686
Harry Allen 3,TRUE,GT,1,GAS,1,72,NA,72,84,35,1,1,70,20.9,NA,5.76,5.76,NA,NA,NA,4.8,0,4968,1120.961548,0,-21.09679297,0.249294788,3686
Chuck Lenzi 2_A,TRUE,GT,1,GAS,1,305,NA,305,311.5,117.5,8,6,74,1.6,NA,15.25,15.25,NA,NA,NA,2.8,0,24095,595.71698,0,2.817243896,0.009065612,3686
